Transect,Point,DFS(m),Surveyor,Lattitude,Longitude,Date,Depth(m),Substrate,CerDem,ElaSp,EleSp,LemMin,MyrSpi,NajMin,NymOdo,PotFol,PotPer,StuPec,ValAme
6,6,40,Greg,41.5142,-7345342,8/29/12,200,Silt,0,0,0,0,4,0,0,0,0,0,0
6,7,50,Greg,41.5143,-734534,8/29/12,200,Sand,0,0,0,0,3,0,0,0,0,0,0
6,8,60,Greg,41.5144,-73.45351,8/29/12,200,Silt,0,0,0,0,2,0,0,0,0,0,0
6,9,70,Greg,41.5145,-73.4534,8/29/12,3,Silt,0,0,0,0,0,0,0,0,0,0,0
6,10,80,Greg,41.5146,-73.45346,8/29/12,5,Silt,0,0,0,0,0,0,0,0,0,0,0
7,1,0.5,Greg,41.5715,-73.44279,8/29/12,20,Sand,0,0,0,0,2,0,0,0,0,0,0
7,2,5,Greg,41.5715,-73.44285,8/29/12,1,Sand,0,0,0,0,5,0,0,0,0,0,0
7,3,10,Greg,41.5715,-73.44293,8/29/12,2,Gravel,0,0,0,0,5,0,0,0,0,0,0
7,4,20,Greg,41.5715,-73.44304,8/29/12,2,Rock,0,0,0,0,5,0,0,0,0,0,0
7,5,30,Greg,41.5715,-73.44318,8/29/12,3,Silt,0,0,0,0,4,0,0,0,0,0,0
7,6,40,Greg,41.5715,-73.44329,8/29/12,4.5,Silt,0,0,0,0,0,0,0,0,0,0,0
7,7,50,Greg,41.5716,-73.4434,8/29/12,5.5,Silt,0,0,0,0,0,0,0,0,0,0,0
7,8,60,Greg,41.5716,-73.44351,8/29/12,6,Silt,0,0,0,0,0,0,0,0,0,0,0
7,9,70,Greg,41.5716,-73.44362,8/29/12,6.6,Silt,0,0,0,0,0,0,0,0,0,0,0
7,10,80,Greg,41.5716,-73.44375,8/29/12,7,Silt,0,0,0,0,0,0,0,0,0,0,0
8,1,0.5,Greg,41.5129,-73.44122,8/29/12,0.2,Sand,0,0,0,0,1,0,0,0,0,0,0
8,2,10,Greg,41.5129,-73.44118,8/29/12,1,Sand,0,0,0,0,2,0,0,0,0,0,0
8,3,10,Greg,41.5129,-73.44118,8/29/12,1.5,Sand,0,0,0,0,4,0,0,0,0,0,0
8,4,20,Greg,41.5128,-73.44118,8/29/12,1.6,Sand,0,0,0,0,4,0,0,0,0,0,0
8,5,30,Greg,41.5127,-73.44117,8/29/12,1.8,Sand,0,0,0,0,4,0,0,0,0,0,0
8,6,40,Greg,41.5126,-73.44124,8/29/12,1.5,Sand,0,0,0,0,4,0,0,0,0,0,0
8,7,50,Greg,41.5125,-73.4412,8/29/12,1.8,Sand,0,0,0,0,5,0,0,0,0,0,0
8,8,60,Greg,41.5124,-73.44123,8/29/12,2,Silt,0,0,0,0,4,0,0,0,0,0,0
8,9,70,Greg,41.5123,-73.44119,8/29/12,3.5,Silt,0,0,0,0,3,0,0,0,0,0,0
8,10,80,Greg,41.5122,-73.44124,8/29/12,3,Silt,0,0,0,0,2,0,0,0,0,0,0
9,1,0.5,Greg,41.4805,-73.43464,8/29/12,0.5,Sand,0,2,2,0,2,0,0,2,2,0,0
9,2,5,Greg,41.4805,-73.43472,8/29/12,1,Sand,0,0,0,0,4,2,0,0,0,0,0
9,3,10,Greg,41.4805,-73.43476,8/29/12,1,Sand,0,0,0,0,3,2,0,0,0,0,0
9,4,20,Greg,41.4804,-73.43491,8/29/12,1.5,Silt,0,0,0,0,3,0,0,0,0,0,0
9,5,30,Greg,41.4804,-73.43499,8/29/12,2,Silt,0,0,0,0,4,0,0,0,0,0,0
9,6,40,Greg,41.4804,-73.43513,8/29/12,2,Silt,0,0,0,0,4,0,0,0,0,0,0
9,7,50,Greg,41.4803,-73.43522,8/29/12,1.8,Silt,0,0,0,0,4,0,0,0,0,0,0
9,8,60,Greg,41.4803,-73.43533,8/29/12,1.8,Silt,0,0,0,0,4,0,0,0,0,0,0
9,9,70,Greg,41.4802,-73.43542,8/29/12,1.8,Silt,0,0,0,0,3,0,0,0,0,0,0
9,10,80,Greg,41.4803,-73.43558,8/29/12,1.3,Silt,0,0,0,0,4,0,0,0,0,0,0
10,1,0.5,Greg,41.4474,-73.42952,8/30/12,0.1,Sand,2,0,0,2,3,2,0,0,0,0,0
10,2,5,Greg,41.4473,-73.42957,8/30/12,0.5,Sand,2,0,0,0,4,2,0,0,0,0,0
10,3,10,Grea,41.4473,-73.42961,8/30/12,0.8,Muck,2,0,0,2,2,2,0,0,0,1,3
10,4,20,Greg,41.4472,-73.42966,8/30/12,1.1,Sand,0,0,0,0,2,0,),0,0,0,3
10,5,30,Greg,41.4471,-73.42975,8/30/12,0.8,Muck,2,0,0,0,3,2,0,0,0,0,3
10,6,40,Greg,41.4471,-73.42985,8/30/12,0.1,Muck,3,0,0,2,5,2,0,0,0,0,2
10,7,50,Greg,41.447,-73.42993,8/30/12,0.1,Muck,0,0,0,2,2,0,0,0,0,0,0
